"","BGN_DATE","STATE","EVTYPE","END_DATE","FATALITIES","INJURIES"
"785417","9/25/2009 0:00:00","NC","LIGHTNING","9/25/2009 0:00:00",0,2
"785442","9/20/2009 0:00:00","TN","FLOOD","9/24/2009 0:00:00",1,1
"785450","9/16/2009 0:00:00","TX","HAIL","9/16/2009 0:00:00",0,10
"785514","9/20/2009 0:00:00","GA","FLASH FLOOD","9/21/2009 0:00:00",6,0
"785524","9/21/2009 0:00:00","GA","FLOOD","9/21/2009 0:00:00",0,1
"785586","9/4/2009 0:00:00","AZ","THUNDERSTORM WIND","9/4/2009 0:00:00",0,4
"785899","9/26/2009 0:00:00","FL","RIP CURRENT","9/26/2009 0:00:00",1,1
"785965","9/18/2009 0:00:00","NC","RIP CURRENT","9/18/2009 0:00:00",1,0
"786068","9/9/2009 0:00:00","NM","FLASH FLOOD","9/9/2009 0:00:00",1,0
"786209","9/14/2009 0:00:00","TX","FLASH FLOOD","9/14/2009 0:00:00",1,0
"786213","9/5/2009 0:00:00","LA","LIGHTNING","9/5/2009 0:00:00",1,1
"786233","9/5/2009 0:00:00","FL","LIGHTNING","9/5/2009 0:00:00",1,0
"786234","9/22/2009 0:00:00","CA","WILDFIRE","9/27/2009 0:00:00",0,10
"786280","9/15/2009 0:00:00","AR","HEAVY RAIN","9/15/2009 0:00:00",1,1
"786374","9/15/2009 0:00:00","GU","HURRICANE","9/16/2009 0:00:00",0,1
"786395","9/13/2009 0:00:00","CA","LIGHTNING","9/13/2009 0:00:00",0,1
"786485","9/21/2009 0:00:00","OK","FLASH FLOOD","9/21/2009 0:00:00",0,1
"786607","9/15/2009 0:00:00","FL","RIP CURRENT","9/15/2009 0:00:00",1,0
"786675","9/21/2009 0:00:00","GA","FLASH FLOOD","9/22/2009 0:00:00",1,0
"786704","9/2/2009 0:00:00","NJ","RIP CURRENT","9/2/2009 0:00:00",1,0
"787011","10/8/2009 0:00:00","MO","LIGHTNING","10/8/2009 0:00:00",1,0
"787019","10/30/2009 0:00:00","MO","FLOOD","10/30/2009 0:00:00",3,1
"787049","10/27/2009 0:00:00","GA","THUNDERSTORM WIND","10/27/2009 0:00:00",0,1
"787075","10/22/2009 0:00:00","LA","TORNADO","10/22/2009 0:00:00",0,1
"787089","10/27/2009 0:00:00","AR","FLOOD","10/27/2009 0:00:00",1,0
"787172","10/22/2009 0:00:00","LA","FLASH FLOOD","10/22/2009 0:00:00",1,0
"787274","10/9/2009 0:00:00","MS","TORNADO","10/9/2009 0:00:00",1,2
"787327","10/9/2009 0:00:00","AR","THUNDERSTORM WIND","10/9/2009 0:00:00",0,1
"787334","10/9/2009 0:00:00","TN","TORNADO","10/9/2009 0:00:00",0,1
"787359","10/21/2009 0:00:00","TX","FLASH FLOOD","10/21/2009 0:00:00",1,0
"787493","10/29/2009 0:00:00","AR","TORNADO","10/29/2009 0:00:00",0,4
"787512","10/3/2009 0:00:00","CA","WILDFIRE","10/10/2009 0:00:00",0,8
"787534","10/30/2009 0:00:00","IL","FLOOD","10/31/2009 0:00:00",1,0
"787675","10/29/2009 0:00:00","LA","TORNADO","10/29/2009 0:00:00",0,8
"787676","10/29/2009 0:00:00","LA","TORNADO","10/29/2009 0:00:00",0,1
"787772","10/29/2009 0:00:00","AR","TORNADO","10/29/2009 0:00:00",0,1
"787785","10/29/2009 0:00:00","LA","TORNADO","10/29/2009 0:00:00",0,2
"787860","10/7/2009 0:00:00","SC","EXCESSIVE HEAT","10/7/2009 0:00:00",1,0
"787890","10/7/2009 0:00:00","NY","STRONG WIND","10/7/2009 0:00:00",0,2
"787917","10/26/2009 0:00:00","FL","RIP CURRENT","10/26/2009 0:00:00",0,2
"787979","10/29/2009 0:00:00","ID","WINTER WEATHER","10/29/2009 0:00:00",1,1
"788062","10/9/2009 0:00:00","LA","HIGH WIND","10/9/2009 0:00:00",1,0
"788070","10/13/2009 0:00:00","CA","HEAVY RAIN","10/13/2009 0:00:00",0,3
"788103","10/9/2009 0:00:00","AR","THUNDERSTORM WIND","10/9/2009 0:00:00",0,1
"788152","10/13/2009 0:00:00","WA","STRONG WIND","10/13/2009 0:00:00",0,1
"788178","10/29/2009 0:00:00","AR","FLASH FLOOD","10/29/2009 0:00:00",1,0
"788274","10/31/2009 0:00:00","FL","RIP CURRENT","10/31/2009 0:00:00",1,0
"788286","10/27/2009 0:00:00","CA","STRONG WIND","10/27/2009 0:00:00",0,2
"788458","10/7/2009 0:00:00","NJ","STRONG WIND","10/7/2009 0:00:00",0,1
